open,high,low,close,volume,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,K,D,J,signal
4020.64,4021.728,3992.256,3996.788,16220291100,,,,,,,,,,,0
4011.779,4016.873,3995.96,4007.723,14020849600,,,,,,,,,,,0
4004.825,4025.299,3989.512,4010.168,14441942800,,,,,,,,,,,0
4011.059,4012.042,3969.926,3974.992,13375467000,,,,,,,,,,,0
3966.515,3983.148,3904.767,3914.696,16590529400,,,,,,,,,,,0
3916.114,3938.183,3907.2,3934.849,15223467400,,,,,,,,,,,0
3937.898,3946.357,3921.529,3932.295,14047539900,,,,,,,,,,,0
3930.207,3942.026,3916.861,3919.357,13116418700,,,,,,,,,,,0
3911.384,3952.985,3903.652,3932.412,12679373800,,,,,,,,,,,0
3930.776,3934.234,3907.384,3915.166,12635621400,,,,,,,,,,,0
3905.982,3928.448,3872.403,3887.306,16679852300,,,,,,,,,,,0
3892.779,3905.262,3882.405,3887.684,14038027400,,,,,,,,,,,0
3884.418,3900.495,3877.16,3884.386,11304317500,,,,,,,,10.503573106908261,11.613399442036993,8.283920436650796,0
3843.418,3883.703,3843.418,3861.503,14259978900,,,,,,,,12.756484392614752,11.103958930388801,16.061535317066653,1
3675.202,3707.777,3514.117,3589.441,31257858600,9.36923350070525,,,,,,,14.829827524108161,12.69662834121039,19.096225889903703,0
3597.986,3650.759,3583.875,3650.759,28019731200,19.91856629603567,,,,,,,21.6014105451201,16.395907487281004,32.01241666079829,0
3606.104,3686.794,3587.337,3686.794,26230570800,25.413126916750155,,,,,,,29.214782880805405,21.882006983344553,43.88033467572711,0
3749.126,3756.139,3708.819,3735.115,22725222700,32.13715139081727,,,,,,,41.0283396197109,30.614844348545464,61.855330162041774,0
3730.315,3762.365,3708.462,3750.517,16875969100,34.17414325445223,,,,,,,49.668582968527005,39.9705684896811,69.06461192621882,0
3772.041,3776.634,3754.033,3759.142,16446240300,35.34452935143824,,,,4101.861659216379,3861.5546499999996,3621.2476407836198,57.43425309284825,49.37705856036205,73.54864215782065,0
3756.479,3764.486,3737.85,3761.235,13400604000,35.64356257100896,,,,4085.4628102754928,3849.7769999999996,3614.0911897245064,61.21880567422553,56.10721391186693,71.44198919894272,0
3757.876,3775.166,3721.603,3772.82,15635900600,37.370221381574545,,,,4064.2863420166345,3838.0318500000003,3611.777357983366,65.53287890803598,61.395312558369916,73.80801160736813,0
3755.086,3779.125,3749.504,3772.222,12237100200,37.31456912297691,,,,4039.593980835439,3826.1345499999998,3612.6751191645603,77.11693335814395,67.95620598013515,95.43838811416154,0
3760.043,3782.044,3754.407,3772.523,10294850900,37.36513101212925,,,,4019.2304967798505,3816.0110999999997,3612.791703220149,87.5295799298129,76.72646406533094,109.13581165877682,0
3768.142,3790.178,3763.138,3784.881,12135573000,39.521984223596824,,,,4007.953408266321,3809.52035,3611.0872917336787,96.65976097436398,87.1020914207736,115.77510008154474,0
3780.112,3799.23,3778.079,3783.952,12568825700,39.41211239937909,,,,3992.073563033333,3801.9754999999996,3611.877436966666,91.91739560082046,92.0355788349991,91.68102913246318,-1
3803.43,3807.954,3780.518,3786.882,13198687000,39.97885836357629,,,,3975.1896208138714,3794.7048499999996,3614.220079186128,86.45902651138688,91.67872769552376,76.01962414311313,0
3787.459,3807.26,3775.207,3784.357,11716456000,39.63477987554829,,,,3959.1456394594315,3787.9548499999996,3616.7640605405677,78.22054802425,85.5323233788191,63.59699731511179,0
3792.084,3801.577,3780.777,3786.994,12459113300,40.21349354454536,,,,3938.549188281894,3780.68395,3622.818711718106,75.74018066880438,80.13991840148041,66.94070520345232,0
3786.387,3792.008,3772.803,3781.619,12514509100,39.384679148969845,,,,3919.355063889261,3774.0066000000006,3628.65813611074,72.63417138577815,75.53163335961084,66.83924743811278,0
3776.003,3785.316,3768.031,3775.077,11151469400,38.34869566148213,,,,3904.163706056629,3768.395150000001,3632.6265939433733,62.993759777605845,70.45603727739612,48.069204778025295,0
3775.831,3787.564,3768.757,3770.571,14368165800,37.6147746576147,,,,3886.841258570825,3762.539500000001,3638.2377414291773,47.81362320584929,61.14718478974442,21.146500038059017,0
3794.376,3809.094,3782.777,3808.542,15852045900,46.846377609823506,,,,3872.093390136464,3758.7473000000014,3645.4012098635385,57.57911362353303,56.128832202329384,60.47967646594033,1
3861.577,3863.678,3814.987,3831.627,16117229900,51.54131220418934,-39.56431676762213,-70.21518877523097,30.65087200760884,3865.8304485360363,3757.253500000001,3648.676551463966,65.15857998113376,56.850438936838685,81.7748620697239,0
3820.548,3867.331,3816.264,3852.896,12495983300,55.44599124465079,-30.778008750991376,-62.32775277038305,31.549744019391674,3855.8203886347615,3770.4262500000004,3685.0321113652394,83.58413918954015,68.77394426473563,113.20452903914918,0
3848.619,3853.663,3836.535,3846.157,11938952600,53.96232101958629,-24.080986700913854,-54.67839955648921,30.597412855575357,3852.260942261718,3780.1961500000007,3708.1313577382834,76.87676788460014,75.20649568509134,80.21731228361773,0
3866.531,3890.734,3859.035,3890.61,15333246000,61.31577575999664,-15.013496642295195,-46.74541897365041,31.731922331355214,3864.3557001219297,3790.386950000001,3716.4181998780723,88.01297427838092,82.82462711750706,98.38966860012866,0
3915.592,3915.592,3890.686,3896.258,14732029900,62.143147722610536,-7.287691079077831,-38.85387339473589,31.56618231565806,3881.1631636091884,3798.4441000000006,3715.725036390813,88.49110071221446,84.46028095839849,96.55274021984641,0
