open,high,low,close,volume,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,K,D,J,signal
11009.574,11015.469,10940.771,10957.818,70157392693,,,,,,,,,,,0
10999.322,11041.412,10958.871,11014.747,67026091831,,,,,,,,,,,0
11003.733,11030.188,10916.279,10979.052,65830605489,,,,,,,,,,,0
10971.412,10973.141,10869.164,10879.489,66033277818,,,,,,,,,,,0
10843.979,10898.257,10656.879,10687.554,73797742505,,,,,,,,,,,0
10695.018,10723.753,10563.885,10695.488,73186830760,,,,,,,,,,,0
10702.689,10735.55,10618.052,10649.076,60284329360,,,,,,,,,,,0
10636.116,10703.037,10635.779,10643.819,56246349670,,,,,,,,,,,0
10610.886,10745.09,10556.615,10668.101,57357559191,,,,,,,,,,,0
10658.152,10688.05,10593.853,10607.331,55060153716,,,,,,,,,,,0
10559.656,10609.766,10427.955,10504.332,56671275642,,,,,,,,,,,0
10523.646,10581.979,10491.703,10503.655,50596571318,,,,,,,,,,,0
10500.527,10573.008,10490.849,10513.117,45905545136,,,,,,,,14.89180310776772,14.20490903841813,16.265591246466897,0
10384.95,10481.599,10328.023,10365.731,52253863357,,,,,,,,13.678113934082779,13.637611905850697,13.75911799054694,0
9747.661,9831.63,9220.124,9364.498,72979895617,5.507128041131862,,,,,,,12.20551031788939,13.591809119913298,9.43291271384157,-1
9356.693,9505.64,9296.119,9424.68,81890145272,8.807976453896865,,,,,,,10.64079968611045,12.174807979360873,7.572783099609605,0
9271.236,9591.81,9119.601,9539.892,87247716467,14.934258749824286,,,,,,,16.245815554020982,13.030708519340275,22.6760296233824,1
9757.979,9884.238,9713.637,9754.644,79793878408,25.042578589377783,,,,,,,26.586228459865737,17.82428123333239,44.11012291293243,0
9681.452,9909.558,9679.28,9834.444,63799002683,28.445198382043873,,,,,,,38.10520206489343,26.979082026260055,60.35744214216019,0
9955.655,9964.726,9862.345,9884.302,63003532921,30.565941100895433,,,,11417.414795138766,10373.588499999998,9329.76220486123,46.916978458190364,37.20280299431652,66.34532938593806,0
