open,high,low,close,volume,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,K,D,J,signal
3430.809,3436.352,3422.462,3426.129,51568513800,,,,,,,,,,,0
3434.565,3437.065,3423.301,3429.759,45491606300,,,,,,,,,,,0
3424.173,3439.046,3414.593,3426.429,44031629900,,,,,,,,,,,0
3425.216,3427.045,3404.662,3408.948,45163068200,,,,,,,,,,,0
3401.759,3414.709,3355.84,3364.831,52086263000,,,,,,,,,,,0
3364.834,3373.694,3340.238,3370.028,51331026000,,,,,,,,,,,0
3370.001,3379.988,3361.046,3369.976,45635739300,,,,,,,,,,,0
3365.666,3382.342,3365.666,3368.697,42853377000,,,,,,,,,,,0
3362.712,3394.035,3351.174,3373.749,41477631400,,,,,,,,,,,0
3372.039,3375.053,3346.081,3351.307,41228428900,,,,,,,,,,,0
3343.344,3361.742,3317.738,3335.746,47257197800,,,,,,,,,,,0
3340.712,3357.622,3338.779,3348.435,42258867000,,,,,,,,,,,0
3344.171,3361.134,3343.116,3350.127,35012736400,,,,,,,,25.442951166175735,21.15802174674897,34.012810005029266,0
3319.606,3358.426,3319.606,3342.008,40051782700,,,,,,,,31.097965521150016,24.861492260029646,43.570912043390756,0
3193.102,3217.782,3040.693,3096.576,66219958400,7.319859197612737,,,,,,,27.00872122598997,27.849879304438574,25.326405069092758,-1
3094.262,3145.549,3085.123,3145.549,66224238700,18.45891654254096,,,,,,,25.766984925161225,27.95789055743374,21.385173660616196,0
3110.01,3186.81,3070.078,3186.81,68479717400,26.476702453484346,,,,,,,28.94796920075542,27.241225117302207,32.36145736766184,1
3227.836,3239.941,3201.571,3223.638,59120827300,32.82568713341796,,,,,,,41.9144433343083,32.20979915340832,61.32373169610827,0
3219.505,3249.854,3211.35,3238.227,47553180400,35.212416394270875,,,,,,,52.53183701760296,41.13141651755556,75.33267801769777,0
3251.978,3272.72,3244.733,3262.808,47137322000,39.136307338415925,,,,3508.372571069163,3320.9888499999993,3133.6051289308357,61.85268988037435,52.0996567440952,81.35875615293264,0
3260.685,3268.985,3246.337,3267.662,39666289500,39.91025293009123,,,,3495.327403256321,3313.0654999999992,3130.8035967436776,67.22443046803009,60.53631912200246,80.60065316008534,0
3267.665,3276.005,3233.791,3276.004,42953485400,41.29192528499989,,,,3480.118219686812,3305.3777499999987,3130.6372803131853,71.40165451617956,66.82625828819467,80.55244697214934,0
3261.718,3285.915,3258.145,3280.341,38201269800,42.03811814555258,,,,3463.9513215746924,3298.0733499999988,3132.195378425305,80.87216965496354,73.1660848797244,96.28433920544182,0
3270.353,3283.09,3262.392,3276.73,35883619300,41.56442426958943,,,,3449.4914206787967,3291.462449999999,3133.4334793212015,89.17692772427063,80.4835839651379,106.56361524253609,0
3273.138,3298.64,3270.013,3291.434,37930758800,44.31597673953089,,,,3442.2034018040613,3287.7925999999993,3133.3817981959373,96.77289213394198,88.9406631710587,112.43735005970854,0
