open,high,low,close,volume,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,K,D,J,signal
2230.854,2233.333,2212.018,2215.127,24550517179,,,,,,,,,,,0
2225.204,2242.217,2215.373,2228.644,23840841482,,,,,,,,,,,0
2221.602,2237.95,2208.256,2222.347,22968095475,,,,,,,,,,,0
2220.496,2221.606,2198.375,2200.032,23583954503,,,,,,,,,,,0
2193.361,2201.417,2149.091,2152.279,26088641653,,,,,,,,,,,0
2154.67,2160.464,2125.129,2152.555,24385877842,,,,,,,,,,,0
2154.204,2165.015,2136.607,2145.479,19869731524,,,,,,,,,,,0
2143.119,2157.78,2139.902,2139.902,18420319141,,,,,,,,,,,0
2130.489,2165.16,2117.755,2145.095,19171687867,,,,,,,,,,,0
2140.066,2152.398,2128.209,2128.209,17955464086,,,,,,,,,,,0
2117.885,2123.872,2087.129,2103.699,18606140083,,,,,,,,,,,0
2108.455,2127.538,2100.297,2101.878,17136825804,,,,,,,,,,,0
2103.387,2121.555,2097.824,2104.625,15132911479,,,,,,,,12.420967433768503,12.107654455460166,13.047593390385178,0
2078.146,2097.67,2057.634,2065.403,16397924585,,,,,,,,11.167199280888854,11.235339936113583,11.030917970439397,-1
1925.641,1939.269,1756.64,1807.206,30407557575,4.814715532347925,,,,,,,11.637258276855677,11.741808330504343,11.428158169558348,0
1837.544,1877.441,1812.128,1840.312,25668214136,11.782535459522602,,,,,,,13.36160665486409,12.055354737536206,15.974110489519859,1
1805.464,1872.929,1777.248,1858.356,27945229735,15.41684390684233,,,,,,,19.252749763373448,14.750538231697737,28.257172826724872,0
1920.64,1944.102,1897.335,1900.528,25668684963,23.363409124143182,,,,,,,27.245989861387926,19.953448759875155,41.83107206441347,0
1885.855,1943.435,1884.599,1926.37,20237823723,27.837392741869106,,,,,,,35.672712736822426,27.39048412052793,52.23716996941141,0
1954.049,1956.156,1928.633,1932.913,19193506347,28.968092171923303,,,,2335.990311348728,2068.54795,1801.1055886512725,43.2151613640381,35.37795465408282,58.889574783948675,0
1933.886,1940.747,1918.436,1930.399,16842254976,28.78148804791908,,,,2319.329774281628,2054.31155,1789.2933257183718,46.968068748668976,41.95198094984317,57.0002443463206,0
1918.029,1919.093,1879.776,1907.109,17049971365,27.043476104743696,,,,2297.9580549461843,2038.2347999999997,1778.511545053815,46.42140780563577,45.53487930611428,48.19446480467877,0
1893.017,1923.53,1892.474,1908.776,15001282078,27.381492391617613,,,,2273.644595371015,2022.5562499999996,1771.4679046289846,55.99691669605863,49.79546441678779,68.39982125460033,0
1904.994,1917.593,1898.78,1913.97,14686095279,28.493152834414005,,,,2249.677483638738,2008.2531499999998,1766.8288163612617,65.5982463110608,56.00552360425174,84.78369172467895,0
1910.904,1947.562,1901.813,1944.318,16743253700,34.77584930768721,,,,2231.354741723847,1997.8550999999995,1764.3554582761521,82.0186685122509,67.87127717312346,110.31345119050579,0
1933.832,1939.688,1923.374,1928.432,17145814898,33.134690767677746,,,,2210.696429442625,1986.6489499999996,1762.6014705573741,77.83533811444958,75.15075097925377,83.2045123848412,0
1950.435,1962.678,1935.681,1949.162,19999589043,37.29337230590794,,,,2189.077126363914,1976.8330999999994,1764.5890736360848,80.26071464154144,80.03824042274732,80.70566307912969,0
1946.23,1958.216,1930.902,1935.858,18154588432,35.75636549364976,,,,2165.7506773260247,1966.6308999999994,1767.511122673974,71.68250048425033,76.59285108008048,61.86179929259001,-1
1941.815,1960.634,1937.706,1947.186,16997550933,38.095846960405154,,,,2138.291887035419,1956.7354499999994,1775.1790129645797,77.55261232137529,76.49860914905571,79.66061866601444,1
1951.16,1951.16,1930.064,1934.457,16239196038,36.48792700067179,,,,2110.773143253404,1947.0478499999995,1783.3225567465947,71.6400086849532,73.62504049685964,67.66994506114031,-1
1929.272,1941.175,1923.856,1931.942,15966456284,36.16315284223441,,,,2085.594930461803,1938.4599999999996,1791.3250695381964,67.83016534171142,72.34092878268,58.80863845977427,0
1936.122,1954.623,1931.836,1948.03,16629885574,39.85129225011253,,,,2057.610905405363,1930.7675999999997,1803.9242945946362,66.41786180025666,68.62934527564046,61.99489484948904,0
1966.968,1988.051,1964.458,1986.409,20452047955,47.6251247848313,,,,2027.440365308681,1924.8567999999996,1822.273234691318,77.1303168844566,70.45944800880825,90.47205463575332,1
2024.301,2035.474,1982.374,1996.51,23653504827,49.4759377819359,-54.29332518099886,-92.15376610869303,37.86044092769417,2008.3150542328697,1921.4121499999997,1834.5092457671296,80.13789341097983,74.56202403189774,91.28963216914403,0
1994.052,2036.101,1991.655,2029.452,20799499536,55.054200046502864,-43.500783362525,-82.42316955945942,38.922386196934426,2014.890066715875,1932.5244499999997,1850.1588332841243,85.80468875123013,81.0242996822222,95.365466889246,0
2028.427,2028.427,2004.477,2011.767,19203420690,51.75082610013244,-35.960122013435466,-73.13056005025463,37.170438036819164,2018.8492148024463,1941.0971999999997,1863.345185197553,79.21291238963467,81.71849818394823,74.20174080100756,-1
2042.902,2066.313,2038.336,2064.714,19483071725,59.57197848757595,-25.418702187072768,-63.58818847761826,38.16948629054549,2036.8934070559978,1951.4150999999997,1865.9367929440016,90.42484825482084,85.14748313189524,100.97957850067203,1
2091.349,2091.349,2058.741,2062.261,19752887576,59.09404718698589,-17.065764121551183,-54.28370360640484,37.21793948485366,2054.2879761319928,1959.50175,1864.715523868007,86.61049933438694,85.41608665961418,88.99932468393249,0
