Date,Adj Close,Close,High,Low,Open,Volume,代码,名称,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume
,HSI,HSI,HSI,HSI,HSI,HSI,,,SPY,SPY,SPY,SPY,SPY,SPY,QQQ,QQQ,QQQ,QQQ,QQQ,QQQ,IWM,IWM,IWM,IWM,IWM,IWM,VTI,VTI,VTI,VTI,VTI,VTI,GLD,GLD,GLD,GLD,GLD,GLD,USO,USO,USO,USO,USO,USO,TLT,TLT,TLT,TLT,TLT,TLT,AGG,AGG,AGG,AGG,AGG,AGG
2020-09-01,,,,,,,AGG,美国综合债券ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.13027954101562,118.41999816894531,118.44000244140625,118.0,118.12000274658203,9843200.0
2020-09-01,,,,,,,GLD,黄金ETF,,,,,,,,,,,,,,,,,,,,,,,,,185.0500030517578,185.0500030517578,186.99000549316406,184.3300018310547,186.99000549316406,10662100.0,,,,,,,,,,,,,,,,,,
2020-09-01,25184.80078125,25184.80078125,25184.80078125,25184.80078125,25184.80078125,0.0,HSI,恒生指数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-01,,,,,,,IWM,罗素2000指数ETF,,,,,,,,,,,,,147.7288055419922,157.2100067138672,157.30999755859375,154.4499969482422,155.22000122070312,15638800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-01,,,,,,,QQQ,纳斯达克100指数ETF,,,,,,,291.23577880859375,299.9200134277344,300.0400085449219,295.7900085449219,297.6199951171875,36216200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-01,,,,,,,SPY,标普500指数ETF,328.3122863769531,352.6000061035156,352.7099914550781,349.239990234375,350.2099914550781,54908700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-01,,,,,,,TLT,20年以上美国国债ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.11534118652344,163.86000061035156,164.07000732421875,161.17999267578125,161.75999450683594,10587000.0,,,,,,
2020-09-01,,,,,,,USO,原油ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.610000610351562,30.610000610351562,30.940000534057617,30.540000915527344,30.639999389648438,3902000.0,,,,,,,,,,,,
2020-09-01,,,,,,,VTI,美国全市场ETF,,,,,,,,,,,,,,,,,,,166.252197265625,178.85000610351562,178.99000549316406,177.1699981689453,177.69000244140625,2877700.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-02,,,,,,,AGG,美国综合债券ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.3392562866211,118.66000366210938,118.70999908447266,118.33999633789062,118.41999816894531,4838500.0
